eV	cm-  ~	"la,m"	n	k
3.1	25000	0.4	5.5832	2.96E-01
3.05	24600	0.4065	5.3834	2.40E-01
3	24200	0.4133	5.2195	1.96E-01
2.95	23790	0.4203	5.0855	1.62E-01
2.9	23390	0.4275	4.9647	1.40E-01
2.85	22990	0.435	4.8544	1.21E-01
2.8	22580	0.4428	4.7539	1.05E-01
2.75	22180	0.4509	4.6627	9.19E-02
2.7	21780	0.4592	4.5828	8.05E-02
2.65	21370	0.4679	4.5085	7.08E-02
2.6	20970	0.4769	4.4394	6.25E-02
2.55	20570	0.4862	4.3749	5.54E-02
2.5	20160	0.4959	4.3149	4.92E-02
2.45	19760	0.5061	4.2589	4.39E-02
2.4	19360	0.5166	4.2068	3.93E-02
2.35	18950	0.5276	4.1582	3.52E-02
2.3	18550	0.5391	4.1128	3.16E-02
2.25	18150	0.551	4.0704	2.84E-02
2.2	17740	0.5636	4.0307	2.56E-02
2.15	17340	0.5767	3.9936	2.31E-02
2.1	16940	0.5904	3.9588	2.10E-02
2.05	16530	0.6048	3.9261	1.91E-02
2	16130	0.6199	3.8953	1.73E-02
1.95	15730	0.6358	3.8662	1.57E-02
1.9	15320	0.6526	3.8388	1.41E-02
1.85	14920	0.6702	3.8127	1.26E-02
1.8	14520	0.6888	3.788	1.12E-02
1.75	14110	0.7085	3.7644	9.92E-03
1.7	13710	0.7293	3.7419	8.65E-03
1.65	13310	0.7514	3.7204	7.45E-03
1.6	12900	0.7749	3.6999	6.30E-03
1.55	12500	0.7999	3.6801	5.22E-03
1.5	12100	0.8266	3.6611	4.21E-03
